1252792	Yangching	Yangching		26.44675	94.88453	P	PPL	IN		20	268			0		793	Asia/Kolkata	2014-10-14
1252793	Yangang	Yangang	Yangang	27.27851	88.40992	P	PPL	IN		29	243			0		1081	Asia/Kolkata	2014-10-14
1252794	Yandigeri	Yandigeri	Yandigeri,Yendigeri	16.13113	75.49422	P	PPL	IN		19	556			0		556	Asia/Kolkata	2014-10-14
1252795	Yanam	Yanam	Janam,Yanam,Yanaon,Янам	16.73308	82.21364	P	PPL	IN		02	545			36896		11	Asia/Kolkata	2014-10-10
1252796	Yanam	Yanam	YAN,Yanam,Yanaon	16.73463	82.21773	A	ADM2	IN	IN	22	634			55626		9	Asia/Kolkata	2018-05-26
1252797	Yamunānagar	Yamunanagar	Abdullahpur,Abdullapur,Abdullāhpur,Jamna Nagar,Yamuna Nagar,Yamunanagar,Yamunānagar	30.12796	77.28371	P	PPL	IN		10	071			208931		278	Asia/Kolkata	2020-06-10
1252798	Yamuna River	Yamuna River	Giri,Jumna River,Yamuna,Yamuna River	25.42285	81.88378	H	STM	IN		36				0		72	Asia/Kolkata	2015-09-06
1252799	Yamnotri	Yamnotri	Yamnotri	31.01418	78.39666	P	PPL	IN		39	056			0		3585	Asia/Kolkata	2014-10-14
1252800	Yamne River	Yamne River	Yamme River,Yamne River	28.17483	95.21642	H	STM	IN		00				0		181	Asia/Kolkata	2012-10-06
1252801	Yamkanmardi	Yamkanmardi	Jamkanmardi,Yamkanmardi,Yemakanmardi,ymknmardy,Ямканмарді,یمکنماردی	16.12931	74.52709	P	PPL	IN		16				0		684	Asia/Kolkata	2018-05-09
1252802	Yamanpalli	Yamanpalli		19.10064	79.84471	P	PPL	IN		40	532			0		130	Asia/Kolkata	2014-10-10
1252803	Yalvigi	Yalvigi	Yalvigi	15.03728	75.40522	P	PPL	IN		19	564			0		617	Asia/Kolkata	2014-10-14
1252804	Yalung Lake	Yalung Lake		27.96667	88.46667	H	LK	IN		00				0		4753	Asia/Kolkata	1994-01-13
1252805	Yalong	Yalong		33.51602	76.89564	P	PPL	IN		41	004			0		3509	Asia/Kolkata	2019-10-18
1252806	Yalmel	Yalmel		18.83333	84.46667	T	HLL	IN		02	542			0		58	Asia/Kolkata	2014-10-10
1252807	Yalladabāgi	Yalladabagi		13.26894	76.75086	P	PPL	IN		19	571			0		824	Asia/Kolkata	2014-10-14
1252808	Yaliyūr	Yaliyur		12.50733	76.81508	P	PPL	IN		19	573			0		730	Asia/Kolkata	2015-11-08
1252809	Yakkō	Yakko		26.19419	94.91453	T	MT	IN		20	267			0		2677	Asia/Kolkata	2014-10-14
1252810	Yairipok	Yairipok	Yairipok	24.67792	94.04767	P	PPL	IN		17	276			8797		791	Asia/Kolkata	2014-10-13
